1000,54014,70795,132621
1500,81308,93768,161231
2000,104473,127404,220148
2500,133003,162645,273385
3000,162310,196094,335363
3500,193067,229442,389479
4000,240745,264222,447357
4500,252923,323553,518662
5000,281400,339824,569676
5500,324864,374468,650024
6000,345433,415486,709278
6500,378177,449945,772732
7000,410475,513257,833590
7500,456214,528800,897288
8000,471821,575644,962133
8500,505177,604901,1045206
9000,539256,639430,1079185
9500,572722,913107,1155113
10000,632073,728630,1548417
10500,734916,774679,1339789
11000,697987,845161,1466803
11500,732557,848721,1482919
12000,795285,914621,1550192
12500,799346,915451,1584755
13000,831072,1027108,1660284
13500,865173,1024264,1705754
14000,921151,1065257,1802651
14500,966644,1103289,1909241
15000,972877,1139974,1909101
15500,1026005,1186363,1985948
16000,1048270,1460141,2082830
16500,1103130,1291995,2160373
17000,1158008,1328342,2254841
17500,1177426,1599222,2436347
18000,1231085,1421040,2424356
18500,1473915,1440874,2491053
19000,1290264,1509074,2589542
19500,1307850,1522009,2656287
20000,1380938,1552636,2680619
